Class_ID,Level,Description,Descricao,Color,Grupos,SWAT
1,1,Forest,Floresta,#32a65e,,
3,2,Forest Formation,Formação Florestal,#1f8d49,,MATA
4,2,Savanna Formation,Formação Savânica,#7dc975,,CERR
5,2,Mangrove,Mangue,#04381d,,
6,2,Floodable Forest,Floresta Alagável,#026975,,
49,2,Wooded Sandbank Vegetation,Restinga Arbórea,#02d659,,
10,1,Herbaceous and Shrubby Vegetation,Vegetação Herbácea e Arbustiva,#ad975a,,
11,2,Wetland,Campo Alagado e Área Pantanosa,#519799,,WETN
12,2,Grassland,Formação Campestre,#d6bc74,,CAMP
32,2, Hypersaline Tidal Flat,Apicum,#fc8114,,
29,2, Rocky Outcrop,Afloramento Rochoso,#ffaa5f,,
50,2, Herbaceous Sandbank Vegetation,Restinga Herbácea,#ad5100,,
14,1, Farming,Agropecuária,#FFFFB2,Grandes Culturas,AGRL
14,1, Farming,Agropecuária,#FFFFB2,Fruticultura,AGRL
14,1, Farming,Agropecuária,#FFFFB2,Olericultura,AGRL
15,2, Pasture,Pastagem,#edde8e,Olericultura,PAST
15,2, Pasture,Pastagem,#edde8e,Fruticultura,PAST
15,2, Pasture,Pastagem,#edde8e,Grandes Culturas,PAST
18,2, Agriculture,Agricultura,#E974ED,Grandes Culturas,AGRR
18,2, Agriculture,Agricultura,#E974ED,Olericultura,AGRR
19,3, Temporary Crop,Lavoura Temporária,#C27BA0,Grandes Culturas,CRGR
19,3, Temporary Crop,Lavoura Temporária,#C27BA0,Olericultura,CRGR
39,4, Soybean,Soja,#f5b3c8,Grandes Culturas,SOYB
20,4, Sugar cane,Cana,#db7093,Grandes Culturas,SUGC
40,4, Rice,Arroz,#c71585,Grandes Culturas,RICE
62,4, Cotton (beta),Algodão (beta),#ff69b4,Grandes Culturas,COTS
41,4, Other Temporary Crops,Outras Lavouras Temporárias,#f54ca9,Olericultura,CRGR
41,4, Other Temporary Crops,Outras Lavouras Temporárias,#f54ca9,Fruticultura,CRGR
41,4, Other Temporary Crops,Outras Lavouras Temporárias,#f54ca9,Grandes Culturas,CRGR
36,3, Perennial Crop,Lavoura Perene,#d082de,Fruticultura,PAPA
46,4, Coffee,Café,#d68fe2,Fruticultura,COFF
47,4, Citrus,Citrus,#9932cc,Fruticultura,ORAN
35,4, Palm Oil,Dendê,#9065d0,Fruticultura,OILP
48,4, Other Perennial Crops,Outras Lavouras Perenes,#e6ccff,Fruticultura,CRWO
9,2, Forest Plantation,Silvicultura,#7a5900,,EUCA
21,2, Mosaic of Uses,Mosaico de Usos,#ffefc3,Fruticultura,AGRL
21,2, Mosaic of Uses,Mosaico de Usos,#ffefc3,Olericultura,AGRL
22,1, Non vegetated area,Área não Vegetada,#d4271e,,
23,2, Beach,,,,
24,2, Urban Area,Área Urbanizada,#d4271e,,URMD
30,2, Mining,Mineração,#9c0027,,
25,2, Other non Vegetated Areas,Outras Áreas não Vegetadas,#db4d4f,,BARR
26,1, Water,Corpo D'água,#0000FF,,
33,2, River,,,,WATR
31,2, Aquaculture,Aquicultura,#091077,,
27,1, Not Observed,Não observado,#ffffff,,
1003,2,Forest Formation,Formação Florestal,#1f8d49,,ZATA
1004,2,Savanna Formation,Formação Savânica,#7dc975,,ZERR
1011,2,Wetland,Campo Alagado e Área Pantanosa,#519799,,ZETN
1012,2,Grassland,Formação Campestre,#d6bc74,,ZAMP
1014,1, Farming,Agropecuária,#FFFFB2,,ZGRL
1015,2, Pasture,Pastagem,#edde8e,,ZAST
1018,2, Agriculture,Agricultura,#E974ED,,ZGRR
1019,3, Temporary Crop,Lavoura Temporária,#C27BA0,,ZRGR
1039,4, Soybean,Soja,#f5b3c8,,ZOYB
1020,4, Sugar cane,Cana,#db7093,,ZUGC
1040,4, Rice,Arroz,#c71585,,ZICE
1062,4, Cotton (beta),Algodão (beta),#ff69b4,,ZOTS
1041,4, Other Temporary Crops,Outras Lavouras Temporárias,#f54ca9,,ZRGR
1036,3, Perennial Crop,Lavoura Perene,#d082de,,ZAPA
1046,4, Coffee,Café,#d68fe2,,ZOFF
1047,4, Citrus,Citrus,#9932cc,,ZRAN
1035,4, Palm Oil,Dendê,#9065d0,,ZILP
1048,4, Other Perennial Crops,Outras Lavouras Perenes,#e6ccff,,ZRWO
1009,2, Forest Plantation,Silvicultura,#7a5900,,ZUCA
1021,2, Mosaic of Uses,Mosaico de Usos,#ffefc3,,ZGRL
1024,2, Urban Area,Área Urbanizada,#d4271e,,ZRMD
1025,2, Other non Vegetated Areas,Outras Áreas não Vegetadas,#db4d4f,,ZARR
1033,2, River,,,,ZATR
